Name,Category,Subcategory,Categories,Description,Long Description,Tags,Owner Name,Address,Phone,Email,Website,Message Link,Image URL,Featured,Hours,Hours Location Name,Specials,Specials Image URL,Profile Enabled,Owner Email,License Number,Facebook,Instagram,TikTok,YouTube,LinkedIn,Twitter,Pinterest,Additional Locations,Business ID
Liberation Firearms Training,sports-fitness,Courses,sports-fitness; education; shopping,"Indoor shooting range, firearms training, and firearms sales in Redmond. State-of-the-art range with advanced target systems, Range Safety Officers, member lounge, and retail store. Training courses from beginner to advanced including CCW, defensive pistol, vehicle tactics, rifle, and Orion VR training.",,Firearms; Shooting Range; Indoor Range; Firearms Training; CCW; Concealed Carry; Pistol Training; Defensive Pistol; Rifle Training; Vehicle Tactics; VR Training; Orion VR; DPSST; Armed Security; Firearms Sales; Gun Rentals; Range Memberships; Beginner Friendly; Advanced Training; Safety Training; Tactical Training; Locally Owned; Redmond Oregon; Downtown Redmond; Group Classes; Individual Training,,"430 SE Evergreen Ave, Redmond, OR 97756",(458) 899-5215,,https://liberationft.com/,mailto:info@liberationft.com,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/6ede1144d_Untitleddesign8.png,No,,,,,No,,,https://www.facebook.com/liberationft/,https://www.instagram.com/liberationft/,,,,,,[],6a443ba509c69ca99d293dc2
Redmond Trading Co.,shopping,Specialty Shops,shopping,"New, used, consignment, and custom build firearms dealer. FFL and NFA dealer offering gunsmithing, Cerakoting, custom pistol/AR/bolt/NFA builds, optics, ammo, accessories, and firearms training and education.",,Firearms; FFL Dealer; NFA Items; Gunsmithing; Cerakoting; Custom Builds; Pistols; Rifles; Shotguns; Bolt Action; Optics; Red Dots; Scopes; Ammunition; Magazines; Body Armor; Targets; Consignment; Firearms Training; Pistol Training; Carbine Training; Long Range Shooting; CQB Training; Beginner Friendly; Locally Owned; Downtown Redmond; Redmond Oregon; GunBroker; Accessories; Gear,,"356 SW 6th St, Redmond, OR 97756",(541) 923-3906,info@rtc541.com,https://www.rtc541.com/,mailto:info@rtc541.com,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/d1af3711d_Untitleddesign7.png,No,"Monday-Tuesday: Closed, Wednesday-Thursday: 12:00 PM - 5:00 PM, Friday-Saturday: 12:00 PM - 7:00 PM, Sunday: 12:00 PM - 5:00 PM",,,,No,,,,https://instagram.com/redmondtradingco,,,,,,[],6a443b036dc47f763d5a0269
Trinity Bikes,sports-fitness,Running & Cycling,sports-fitness; outdoors,"The bicycle hub of Redmond. Sales, service, and repairs for bikes and e-bikes. Kids, adults, families, enjoying the ride.",,Running & Cycling; Bike Shop; Bicycle Sales; E-Bikes; Bike Repair; Bike Service; Locally Owned; Family Friendly; Community Rides; Group Rides; Downtown Redmond; Redmond Oregon; Outdoor Gear; Cycling; Mountain Biking; Gravel Riding; Bike Fitting; Free Estimates,,"1730 SW Parkway Drive, Redmond, OR 97756",(541) 923-5650,service@trinitybikes.com,https://www.trinitybikes.com,mailto:service@trinitybikes.com,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/aa413465f_TrinityonBG.png,No,"Tuesday-Friday: 10:00 AM - 5:30 PM, Saturday: 10:00 AM - 5:00 PM, Sunday-Monday: Closed",,,,No,,,https://www.facebook.com/TrinityBikesRedmond/,https://www.instagram.com/trinitybikesredmond/,,,,,,[],6a442c4c0f66ae3ea4da280e
"Deby Grant, LMT - Massage Therapy",beauty-wellness,Massage,beauty-wellness,Massage Therapy Services: Swedish/Relaxation; Deep Tissue/Treatment; Scar Tissue Work.,,Massage; Swedish Massage; Relaxation Massage; Deep Tissue Massage; Treatment Massage; Scar Tissue Work; Locally Owned; By Appointment; Licensed Massage Therapist; Women-Owned; Wellness; Therapeutic Massage; Bodywork,,"405 SW 6th Street, Redmond, OR 97756",(541) 419-5659,debygrant@proton.me,https://debygrantlmt.com,mailto:debygrant@proton.me,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/d1fc81387_DebyGrant.webp,No,"Monday-Friday: 10AM-5PM, Saturday: 9AM-1PM, Sunday: Closed",,,,No,,LMT License # 3966,,,,,https://www.linkedin.com/in/Deby-Grant-40093711,,,[],6a44293b8952a584e1dc784c
"Ram Landscape and Irrigation, LLC",home-services,Landscaping,home-services,"Irrigation services (new installs, start-up, blowouts, repairs) and new landscape installs (plants, trees, sod, rock). Locally owned and serving the Redmond area.",,Landscaping; Irrigation; Irrigation Installation; Irrigation Repair; Sprinkler Blowouts; Sprinkler Start-Up; New Landscape Installs; Sod Installation; Tree Planting; Rock Landscaping; Locally Owned; Free Estimates; Residential; Central Oregon; Redmond Oregon,,"Redmond, OR",(541) 771-3082,office@ramlandscape.net,https://ramlandscape.net,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/cb993a1a0_RamLandscapingIrrigation.jpg,No,"Mon-Thu 9am-4pm, Fri 9am-2pm, Sat-Sun Closed",,,,Yes,,,https://www.facebook.com/ramlandscapeirrigation,,,,,,,[],6a4295e30d300aac7b1b41d7
Preferred Mortgage - Alexandra Landeros,professionals,Mortgage,professionals,"Mortgage home loans, purchase, refinance, HELOCs, and property management service.",,Mortgage Loans; Home Loans; Purchase Loans; Refinance; HELOC; Property Management; First-Time Homebuyers; Loan Officer; Central Oregon; Women-Owned,,"Terrebonne, OR 97760",(541) 280-1219,alexandra@mypmloan.com,https://preferredmortgage.my1003app.com/255653/register,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/d6d76daed_AlexandraLanderos.png,No,M-F 9am-4pm,,,,Yes,alexandra@mypmloan.com,,https://www.facebook.com/homeloansbyalexandra,@homeloansbyalexandra,,,,,,[],6a4291f8af919f36feff8b2a
Little & Luxe Boutique,shopping,Boutiques,,"Little and Luxe Boutique offers a thoughtfully curated collection of women's and children's clothing, blending timeless style with everyday comfort. From special occasion outfits to cozy wardrobe favorites, you'll find unique pieces and personalized service in a welcoming downtown boutique.",,Women's Clothing; Children's Clothing; Boutique; Fashion; Apparel; Dresses; Baby Boutique; Children's Boutique; Gifts; Accessories; Local Boutique; Downtown Redmond; Redmond Oregon; Shopping; Women's Fashion; Children's Fashion; Everyday Style; Special Occasion; Small Business; Shop Local,,"239 SW 6th St., Redmond, OR 97756",541-316-3783,Littleandluxeboutique@gmail.com,https://Littleandluxeboutique.com,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/31c3b8c20_LittleLuxe.png,No,Mon - Sat  10am - 5pm | Sun 11am - 4pm,,,,Yes,,,,@littleandluxeboutique_,@littleandluxeboutique,,,,,[],6a3e7a780e2a8296582cefed
Faith Hope and Charity Vineyards & Winery,food-drink,Winery & Vineyard,,"Central Oregon winery, vineyard, wedding venue, and live music destination in Terrebonne. Offering wine tasting, wood-fired pizzas, wine club memberships, concerts, and private events with stunning Three Sisters mountain views.","Faith Hope and Charity Vineyards is a premier Central Oregon winery offering unforgettable vineyard weddings, live music events, and private celebrations with stunning mountain views. We're more than just a destination — we're a part of life's cherished moments.

Our lush vineyard landscape and sweeping views of the Three Sisters set the stage for unforgettable gatherings. Each bottle we craft tells the story of our dedication to quality, from vine to glass. Join us in the tasting room to savor exceptional wines and heartfelt hospitality.

**What We Offer:**
• Award-winning wines — cold-hardy estate-grown varietals plus Merlot, Syrah, and Pinot Noir sourced from Columbia Valley and Eola-Amity
• Wine tasting room open daily with French, American, and European varietals
• Wood-fired pizzas and appetizers made with locally-sourced ingredients
• Wedding venue — recognized as Source Weekly's Best of Central Oregon #1 Wedding Venue
• Live music year-round — concerts under the stars, wine release parties, winemaker dinners, and more
• Wine club memberships with exclusive varietals
• Private and corporate event hosting
• Sustainable, environmentally-friendly winemaking practices",Winery; Vineyard; Wine Tasting; Wedding Venue; Live Music; Events; Central Oregon; Terrebonne; Wine Club; Wood-Fired Pizza; Concerts; Private Events; Corporate Events; Redmond Oregon; Three Sisters; Sustainable; Award-Winning Wine,,"70450 NW Lower Valley Dr, Terrebonne, OR 97760",(541) 526-5075,marketing@fhcvineyards.com,https://www.faithhopeandcharityevents.com,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/8e07c6a78_FaithHopeCharity.jpg,No,"Tasting Room: Daily 12pm-5pm | Live Music: Thu 5pm-8pm, Fri & Sat 6pm-9pm",,,,Yes,,,https://www.facebook.com/Faithhopeandcharityvineyards/,https://www.instagram.com/fhcvineyards/,,,,,,[],6a3c8981fc8d09ae88bad4cb
Cascade Garage Door,home-services,Garage Door Service & Installation,,"Trusted garage door service across Central Oregon since 1983. Same-day repairs, 24/7 emergency service, professional installation, maintenance, opener repair, and commercial solutions. Serving Redmond, Bend, Prineville, Madras, Sisters, and Sunriver.","Cascade Garage Door has served homeowners and businesses across Central Oregon for over 40 years. When your door needs attention, you get reliable service, honest work, and repairs done right the first time.

**Services:**
• Same-day garage door repair for homes and businesses
• 24/7 emergency garage door service
• Professional garage door installation — high-quality doors built to last in Central Oregon's conditions
• Preventive maintenance and routine tune-ups
• Garage door opener repair, replacement, and smart upgrades (Liftmaster, myQ)
• Commercial garage door solutions for businesses, builders, and large-scale projects

**Brands installed and serviced:** Amarr, Hörmann, Liftmaster, and more

**Serving:** Redmond, Bend, Prineville, Madras, Sisters, and Sunriver

With 700+ five-star reviews, Cascade Garage Door is Central Oregon's trusted choice for honest pricing, experienced local technicians, and fast same-day service.",Garage Door Repair; Garage Door Installation; Garage Door Maintenance; Emergency Garage Door Service; Garage Door Openers; Commercial Garage Doors; Liftmaster; Hörmann; Amarr; Same-Day Service; Central Oregon; Redmond Oregon; Bend Oregon; Prineville; Madras; Sisters; Sunriver; Home Services; Since 1983; 24/7 Emergency,,"704 SW Forest Ave Ste 102., Redmond, OR 97756",541-548-2215,office@cascadedoor.com,https://www.cascadedoor.com/,,https://media.base44.com/images/public/6a05e41957c8ee753cb7380c/444742d30_CascadeGarageDoor.jpg,No,Mon - Fri 7:30am - 4:30pm,,,,Yes,,,https://www.facebook.com/cascadedoor,,,,,,,[],6a3c8981fc8d09ae88bad4cc
Litsis Towing,automotive,Towing,,"Light, Medium and Heavy Duty towing and roadside and accident services.",,,,,,,,,,No,,,,,No,,,,,,,,,,[],6a3c8981fc8d09ae88bad4ce
